,Genus,Type,Site,relative_abundance
410,g__Sagenomella,Soil,HKM_F,0.037263714
401,g__Sagenomella,Root,HKM_1,0
402,g__Sagenomella,Root,HKM_2,0.052308095
403,g__Sagenomella,Root,HKM_3,0
404,g__Sagenomella,Root,HKM_4,0.105764146
405,g__Sagenomella,Root,HKM_F,0
694,g__Saitozyma,Soil,RGM_Pit,0.229594765
695,g__Saitozyma,Soil,RGM_Process,1.296462561
692,g__Saitozyma,Root,RGM_Pit,0.052551856
693,g__Saitozyma,Root,RGM_Process,0.169115316
416,g__Scleroderma,Soil,HKM_1,2.354377152
417,g__Scleroderma,Soil,HKM_2,0.013763719
418,g__Scleroderma,Soil,HKM_3,0.01291292
419,g__Scleroderma,Soil,HKM_4,0
420,g__Scleroderma,Soil,HKM_F,0
580,g__Scleroderma,Soil,SH_F,0
581,g__Scleroderma,Soil,SH_M,0
582,g__Scleroderma,Soil,SH_P,47.18748232
